marker_EOI_content_after_num,marker_DQT_num,marker_DHT_num,file_markers_num,marker_DQT_size_max,marker_DHT_size_max,file_size,marker_COM_size_max,marker_APP1_size_max,marker_APP12_size_max
0,1,1,11,132,303,105301,0,7633,0
0,2,2,8,67,28,4370,0,0,0
0,2,4,11,67,181,8591,60,0,0
0,0,1,8,0,162,6279,1,0,17
0,2,4,11,67,181,4496,59,0,0
0,2,4,10,67,181,359641,0,0,0
0,0,0,2,0,0,852,0,0,0
0,2,4,10,67,181,12257,0,0,0
0,0,1,8,0,162,2639,1,0,17
0,0,1,9,0,162,4098,1,0,17
0,2,4,11,67,181,1854,59,0,0
0,2,4,10,67,70,35303,0,0,0
0,2,4,11,67,181,24095,60,0,0
0,2,4,11,67,181,42151,62,0,0
0,2,4,11,67,181,4822,59,0,0
0,2,4,11,67,181,2804,59,0,0
0,1,1,8,132,160,3430,0,0,17
0,2,4,10,67,181,14660,0,0,0
0,1,1,12,132,418,121740,0,5479,0
0,2,4,11,67,181,8433,59,0,0
0,1,1,10,132,418,146029,0,0,0
0,2,4,11,67,181,4527,59,0,0
0,2,4,11,67,181,8746,59,0,0
0,2,4,11,67,181,1963,59,0,0
0,2,4,14,67,181,71942,38,0,0
0,1,1,12,132,418,24821,0,4680,0
0,2,4,11,67,181,52312,59,0,0
0,0,1,8,0,162,45636,1,0,17
0,2,4,10,67,181,1964,0,0,0
0,1,1,13,132,418,30553,0,5808,0
0,1,1,11,132,418,29784,0,4381,0
0,2,4,10,67,181,3420,0,0,0
0,1,1,6,132,418,135431,0,6622,0
0,2,4,10,67,181,1866,0,0,0
0,2,4,11,67,181,8731,60,0,0
0,2,4,11,67,181,6909,59,0,0
0,2,4,10,67,181,3380,0,0,0
0,2,4,11,67,181,77099,62,0,0
0,2,4,11,67,181,43474,59,0,0
0,2,2,8,67,29,10719,0,0,0
0,2,4,11,67,181,365218,59,0,0
0,0,0,3,0,0,37,0,0,0
0,2,4,10,67,181,12453,0,0,0
0,2,4,11,67,181,7922,59,0,0
0,1,1,12,132,319,54030,0,5460,0
0,2,4,11,67,181,188291,60,0,0
0,1,1,10,132,197,644358,0,161,17
0,2,4,13,67,181,5153,59,161,0
0,2,4,11,67,181,7620,62,0,0
0,2,2,8,67,29,6922,0,0,0
0,2,4,11,67,181,4126,59,0,0
0,2,4,11,67,181,65595,62,0,0
0,2,4,11,67,181,242272,60,0,0
0,2,4,11,67,181,5928,59,0,0
0,2,4,11,67,181,3243,62,0,0
0,1,1,10,132,151,3487,0,161,17
0,1,1,8,132,216,232191,0,0,17
0,1,1,8,132,418,2982565,0,16494,0
0,2,4,10,67,181,12278,0,0,0
0,2,4,11,67,181,33884,59,0,0
0,1,1,6,132,418,58408,0,0,0
0,1,1,8,132,172,7709,0,0,17
0,2,4,11,67,181,6772,59,0,0
0,2,4,11,67,181,2748,59,0,0
0,1,1,12,132,418,418058,0,7677,0
0,2,4,11,67,181,27909,59,0,0
0,2,2,8,67,28,3569,0,0,0
0,2,4,11,67,181,2991,59,0,0
0,2,4,13,67,181,155284,0,31084,0
0,2,4,11,67,181,4452,59,0,0
0,1,2,7,67,181,172611,0,1524,0
0,1,1,8,132,214,38250,0,0,17
0,1,1,8,132,103,3323,0,0,17
0,2,4,10,67,181,14660,0,0,0
0,0,1,8,0,162,39397,1,0,17
0,1,1,13,132,418,47768,0,4046,0
0,1,1,6,132,418,319633,0,8514,0
0,2,4,11,67,181,9485,59,0,0
0,2,4,11,67,181,1819,59,0,0
0,2,4,11,67,181,7225,62,0,0
0,2,4,11,67,181,3418,59,0,0
0,2,4,11,67,181,41166,62,0,0
0,2,4,13,67,181,9372,59,161,0
0,2,4,11,67,181,5807,62,0,0
0,2,1,9,67,418,179142,0,11395,0
0,2,4,11,67,181,1965,59,0,0
0,2,4,13,67,181,4434,59,161,0
0,2,4,11,67,181,1601,59,0,0
0,2,4,14,67,181,190589,38,0,0
0,1,1,10,132,183,5486,0,161,17
0,2,4,10,67,181,8203,0,0,0
0,1,1,8,132,195,160359,0,0,17
0,1,1,8,132,212,37703,0,0,17
0,1,1,10,132,194,45507,0,161,17
0,0,1,9,0,162,4098,1,0,17
0,2,4,11,67,181,227007,60,0,0
0,2,4,11,67,181,4174,59,0,0
0,2,4,11,67,181,11679,59,0,0
0,2,2,8,67,29,3253,0,0,0
0,2,4,10,67,181,28078,0,0,0
0,2,4,11,67,181,1565,59,0,0
0,2,4,10,67,181,5647,0,0,0
0,2,4,11,67,181,2436,62,0,0
0,2,4,11,67,181,4730,59,0,0
0,2,4,10,67,41,6031,0,0,0
0,2,4,10,67,181,1818,0,0,0
0,2,4,11,67,181,4688,59,0,0
0,1,1,11,132,418,50843,0,4680,0
0,2,4,11,67,60,9982,50,0,0
0,2,4,11,67,181,13358,60,0,0
0,2,4,11,67,181,2933,59,0,0
0,2,4,12,67,59,2292,0,161,0
0,2,2,8,67,29,3327,0,0,0
0,1,1,9,132,216,14586,0,0,0
0,2,4,11,67,181,3820,59,0,0
0,1,1,11,132,189,19291,0,4680,0
0,2,4,11,67,181,4769,59,0,0
0,0,0,6,0,0,81634,0,4446,0
0,2,2,8,67,29,8742,0,0,0
0,1,1,8,132,200,50303,0,0,17
0,2,4,11,67,181,95389,60,0,0
0,2,4,11,67,181,41748,62,0,0
0,2,4,11,67,181,1965,59,0,0
0,2,4,10,67,55,2966,0,0,0
0,2,4,11,67,181,7923,59,0,0
0,2,4,11,67,181,3879,59,0,0
0,2,4,11,67,181,3887,59,0,0
0,2,4,13,67,181,335122,0,161,0
0,2,4,11,67,181,7308,62,0,0
0,2,2,8,67,28,4682,0,0,0
0,2,4,15,67,181,37501,0,15029,0
0,0,1,8,0,162,36392,1,0,17
0,2,4,11,67,181,14097,59,0,0
0,2,4,11,67,181,189083,60,0,0
0,2,4,11,67,181,5459,59,0,0
0,2,2,8,67,29,4053,0,0,0
0,2,4,11,67,181,7361,59,0,0
0,2,2,8,67,28,4540,0,0,0
0,2,4,12,67,99,138888,0,43826,0
0,1,1,8,132,188,48846,0,0,17
0,2,4,10,67,59,2875,0,0,0
0,2,4,11,67,181,2226,59,0,0
0,2,4,11,67,181,2043,62,0,0
0,2,4,11,67,181,7292,62,0,0
0,2,4,10,67,181,6895,0,0,0
0,1,1,8,132,211,35996,0,0,17
0,1,1,10,132,216,200088,0,161,17
0,2,2,8,67,29,4484,0,0,0
0,1,1,12,132,418,36376,39,161,0
0,1,1,11,132,229,352139,0,5223,0
0,2,4,11,67,181,40983,62,0,0
0,2,4,11,67,181,4956,59,0,0
0,1,1,8,132,217,161351,0,0,17
0,2,2,8,67,27,103775,0,0,0
0,2,4,11,67,181,8254,62,0,0
0,2,4,11,67,181,3390,59,0,0
0,2,4,10,67,58,3100,0,0,0
0,2,4,11,67,181,5179,59,0,0
0,0,1,8,0,162,60889,1,0,17
0,1,1,10,132,260,19652,0,161,17
0,2,4,13,67,181,3448,59,161,0
0,0,1,9,0,162,4098,1,0,17
0,2,4,11,67,181,3916,60,0,0
0,1,1,10,132,227,38687,0,161,17
0,2,4,11,67,181,3205,62,0,0
0,1,1,11,132,251,50275,0,6865,0
0,0,1,8,0,162,12789,1,0,17
0,2,4,11,67,181,3888,60,0,0
0,2,4,11,67,181,41366,62,0,0
0,2,4,13,67,181,6381,59,161,0
0,2,4,10,67,181,7170,0,0,0
0,2,4,11,67,181,3374,62,0,0
0,1,1,12,132,418,46295,0,15025,0
0,2,4,11,67,181,8734,62,0,0
0,2,4,11,67,181,2434,59,0,0
0,1,1,9,132,180,49189,0,161,17
0,2,4,11,67,181,3829,59,0,0
0,2,4,11,67,57,24994,0,5103,0
0,2,4,11,67,181,1963,59,0,0
0,2,4,10,67,181,10329,0,0,0
0,1,1,8,132,418,132111,0,9192,0
0,2,4,11,67,181,2913,62,0,0
0,2,4,14,67,181,94266,38,0,0
0,1,1,11,132,169,9684,0,1018,17
0,0,1,9,0,162,6145,1,0,17
0,2,4,11,67,181,208853,60,0,0
0,1,1,11,132,179,23378,0,913,17
0,2,4,10,67,47,12234,0,0,0
0,2,4,12,67,181,7827,0,394,0
0,1,1,12,132,319,70821,0,9598,0
0,1,1,10,132,155,31603,0,161,17
0,0,1,8,0,162,32819,1,0,17
0,2,2,8,67,28,5424,0,0,0
0,2,4,11,67,181,41452,62,0,0
0,0,1,9,0,162,4098,1,0,17
0,1,1,9,132,418,16435,0,0,0
0,2,2,8,67,28,4540,0,0,0
0,0,1,8,0,162,2575,1,0,17
0,2,4,11,67,181,6772,62,0,0
0,2,4,10,67,55,4079,0,0,0
0,1,1,8,132,199,32696,0,0,17
0,1,1,8,132,229,8357,0,0,17
0,2,4,10,67,62,2854,0,0,0
0,2,4,11,67,181,4427,59,0,0
0,2,4,11,67,181,1855,59,0,0
0,0,1,9,0,162,4098,1,0,17
0,2,4,10,67,181,1424,0,0,0
0,1,1,16,132,418,276827,0,7459,0
0,0,1,8,0,162,23789,1,0,17
0,1,1,10,132,418,252407,0,0,0
0,2,4,10,67,49,1264,0,0,0
0,1,1,10,132,418,35812,39,0,0
0,2,4,11,67,181,12166,59,0,0
0,2,4,11,67,181,2331,59,0,0
0,2,4,12,67,100,10149,0,161,0
0,2,2,9,67,28,5057,0,0,0
0,0,0,1,0,0,1984,0,0,0
0,2,4,11,67,181,3518,59,0,0
0,2,4,11,67,181,41548,62,0,0
0,2,4,10,67,65,124556,0,0,0
0,2,4,14,67,181,46323,38,0,0
0,2,4,11,67,181,3337,62,0,0
0,0,0,2,0,0,6140,0,0,0
0,2,4,11,67,181,1994,59,0,0
0,2,4,11,67,181,57234,62,0,0
0,2,4,11,67,181,41587,62,0,0
0,2,4,11,67,181,10136,60,0,0
0,2,4,11,67,181,1848,59,0,0
0,1,1,13,132,191,70908,0,17115,0
0,2,4,11,67,181,3091,62,0,0
0,2,4,12,67,80,12967,0,161,0
0,2,4,11,67,181,1474,62,0,0
0,2,4,10,67,54,3106,0,0,0
0,2,4,11,67,181,90817,69,0,0
0,2,4,12,67,21,459,0,161,0
0,2,4,10,67,62,11435,0,0,0
0,2,4,11,67,181,1966,59,0,0
0,0,1,8,0,162,35613,1,0,17
0,1,1,11,132,418,10316,0,4680,0
0,2,4,10,67,47,22078,0,0,0
0,2,4,14,67,181,157781,0,4680,0
